ID,vehID,Delay,RedArrival,SplitFailure,SignalID,ApproachDirection,TravelDirection,ETT,TravelTime,ExitStatus,Day,Stops,Uturn
2295,0142cd3be98be9103c6b1dc8a84b32021b3effee,4.76300,Yes,No,1037,Westbound,Straight,9.587,14.350,NULL,3,0,No
2296,0150a10e7e419ed34c64a6de7f187ce11b6ea457,2.49900,NULL,NULL,1037,Eastbound,Straight,9.587,12.086,NULL,3,0,No
2297,01542ffe71aeb8165f4ca3697cd6bce5766b5955,62.45800,Yes,No,1037,Northbound,Right,7.456,69.914,NULL,3,1,No
2298,01751712538174855a53f7da1fdf1ae3ec8ae725,0.53500,No,No,1037,Westbound,Straight,9.587,10.122,NULL,3,0,No
2299,01aa4304456fdbab190c78f1d916cb5590bb91ff,1.37300,No,No,1037,Westbound,Straight,9.587,10.960,NULL,3,0,No
2300,01b77c5ebf2af808adde9d7dad0bdd28494d2cea,5.48500,NULL,NULL,1037,Westbound,Straight,9.587,15.072,NULL,3,0,No
2301,01e687cd317a6377a067e99b40a95acd83013e18,14.24300,Yes,No,1037,Westbound,Straight,9.587,23.830,NULL,3,0,No
2302,01e8be446c56514378f2207ed0da35b95c9a3fea,8.24000,Yes,No,1037,Northbound,Straight,7.456,15.696,NULL,3,0,No
2303,0212e44e3bc0be70833f788b0d24703bb6db4692,115.35800,NULL,NULL,1037,Westbound,Straight,9.587,124.945,NULL,3,1,No
2304,0232d01d6d924df09bd58160ca23744b456568a3,134.74800,Yes,No,1037,Northbound,Straight,7.456,142.204,NULL,3,1,No
2305,028f800f4adac28400f10c21e561d0e71cab9601,7.72400,Yes,No,1037,Northbound,Left,7.456,15.180,NULL,3,0,No
2306,029d9f1ed29d19f603464e8f6fc762d937bf0a36,80.81500,Yes,No,1037,Westbound,Straight,9.587,90.402,NULL,3,1,No
2307,02c1969b3c1c75fe4e4f78df122591d637b1a8b4,118.69700,NULL,NULL,1037,Northbound,Left,7.456,126.153,NULL,3,1,No
2308,02ea22972e97679da15a26cc11d009323856fb6c,0.00000,NULL,NULL,1037,Westbound,Straight,9.587,8.362,NULL,3,0,No
