ID,vehID,Delay,RedArrival,SplitFailure,SignalID,ApproachDirection,TravelDirection,ETT,TravelTime,ExitStatus,Day
19329,64f1b8c4a8064e0b1520aaf5ddbec963620003a3,112.57600,Yes,No,3084,Westbound,Straight,9.587,122.163,NULL,23
19330,652124ae5b1050c97707283c735accf6373187b1,36.85600,No,No,3084,Northbound,Right,7.456,44.312,NULL,23
19331,652a55f4801abf5652a03842db8bc017a1bd656e,144.29300,No,No,3084,Eastbound,Straight,9.587,153.880,NULL,23
19332,653ccc47c025473c255b776144389284f30b2b10,0.00000,No,No,3084,Westbound,Straight,9.587,8.457,NULL,23
19333,656513542e33f1ac2eadf943ebc3a26ac26f1eb3,2.99500,Yes,No,3084,Westbound,Straight,9.587,12.582,NULL,23
19334,657b9b5cee0f2b56043d9d5c7393dec97c6256b7,88.39100,Yes,No,3084,Eastbound,Straight,9.587,97.978,NULL,23
19335,65c4313d47881f2933b8a89ecba33071345e65fb,112.22400,No,No,3084,Southbound,Straight,9.587,121.811,NULL,23
19336,65d44e53c17b38205a71dd30b313f3e551c9680d,106.78900,Yes,No,3084,Eastbound,Straight,9.587,116.376,NULL,23
19337,65f513d77976c078ce757d0865e497aea72a8fc1,81.57300,Yes,No,3084,Eastbound,Straight,9.587,91.160,NULL,23
19338,660a379254bf1cbcb329a371233124083cb8a848,61.88100,Yes,No,3084,Northbound,Straight,7.456,69.337,NULL,23
19339,66140eb786d741539a83563a5f730b55ef05314a,53.92600,Yes,No,3084,Southbound,Straight,9.587,63.513,NULL,23
19340,662c87503f7ce4174c04d159e8740850214d7efe,107.35900,No,No,3084,Westbound,Straight,9.587,116.946,NULL,23
19341,6634dc7eede4c3815cbf9be4cd9baec0b1752d98,0.00000,No,No,3084,Westbound,Straight,9.587,9.467,NULL,23
19342,66371f3c9773862fea18cbe96387f8195e8cff1d,3.91200,Yes,No,3084,Southbound,Right,9.587,13.499,NULL,23
19343,663f55f20057f1d00ba71b55e6b20e6cecb94015,60.04000,Yes,No,3084,Eastbound,Left,9.587,69.627,NULL,23
19344,66500bf66b2a71af8827fed3c324e3df148534dd,86.79600,No,No,3084,Northbound,Straight,7.456,94.252,NULL,23
19345,665e5769c9abb450b0effa8c8ed22e8bff1f8ff4,28.20900,No,No,3084,Southbound,Straight,9.587,37.796,NULL,23
19346,66608a3ee0246511f9c16556fa6fc13ef22c35cc,8.16300,Yes,No,3084,Northbound,Right,7.456,15.619,NULL,23
19347,66952e745fb610d64cdb25f615560955eda5e3bc,1.45100,No,No,3084,Westbound,Straight,9.587,11.038,NULL,23
