ID,vehID,EntryTime,ExitTime,TravelDirection,ApproachDirection,Day,SignalID,Stops,Uturn
3516,9f657ecdf68b5c82cdf6f311c4541ea719b430e8,"2021-07-02 12:50:50.053","2021-07-02 12:51:12.770",Straight,Eastbound,3,1113,0,No
3517,9f8086b074f2aa1b6f18c3669fbecbe5778f11a7,"2021-07-02 11:23:55.228","2021-07-02 11:25:55.231",Straight,Northbound,3,1113,1,No
3518,a0191fb342fcd352fdaa359018ce48a31256a47b,"2021-07-02 16:52:16.865","2021-07-02 16:52:47.393",Right,Eastbound,3,1113,1,No
3519,a0329b092470fcedf84945a0c9b6fe9d19d96d8a,"2021-07-02 15:20:56.867","2021-07-02 15:21:10.273",Left,Eastbound,3,1113,0,No
3520,a06026219c370c36c697acc48d2d0fa089a0daf6,"2021-07-02 12:46:58.592","2021-07-02 12:47:56.287",Straight,Eastbound,3,1113,0,No
3521,a07bdf0398bc65a859158c2b261ce36cbe17a47a,"2021-07-02 07:13:49.887","2021-07-02 07:15:49.222",Straight,Eastbound,3,1113,1,No
3522,a0928a26a3a793db4d54343d15029fd9f2352a83,"2021-07-02 07:40:48.024","2021-07-02 07:41:11.438",Straight,Southbound,3,1113,0,No
3523,a0b7b95ddb4a2aa663b86c85374df487e5bcaba0,"2021-07-02 14:24:01.070","2021-07-02 14:24:19.171",Straight,Eastbound,3,1113,0,No
3524,a0d5bc0d726c33d33f0aeb837c75d244dd991462,"2021-07-02 14:59:05.003","2021-07-02 15:01:05.516",Straight,Southbound,3,1113,1,No
3525,a17106c87e728794ad8e35853f2c233004ea63f2,"2021-07-02 12:41:41.134","2021-07-02 12:42:07.385",Right,Eastbound,3,1113,1,No
3526,a1ae5767998c93eefc2f992dd5b2c89840795fd9,"2021-07-02 14:15:57.791","2021-07-02 14:19:40.779",Straight,Northbound,3,1113,2,No
3527,a1ce9255eedb31cd9a12dfbe9873a6857b8a6c4e,"2021-07-02 09:38:50.684","2021-07-02 09:39:01.753",Straight,Eastbound,3,1113,0,No
3528,a1df66022ad2fa39bad1e82f6f6b794489cfe42d,"2021-07-02 08:21:17.420","2021-07-02 08:21:29.928",Straight,Eastbound,3,1113,0,No
3529,a2230f314bf1d401ba47690ac05a826f41ccbd75,"2021-07-02 08:11:53.766","2021-07-02 08:12:08.170",Straight,Eastbound,3,1113,0,No
3530,a258743018b873500ba78bad2e6db3c34d9444b8,"2021-07-02 07:03:37.608","2021-07-02 07:10:28.947",Straight,Westbound,3,1113,1,No
3531,a28e259ef9ec2aafed4792255fb7540d025ed1d5,"2021-07-02 05:24:34.927","2021-07-02 05:25:37.626",Right,Westbound,3,1113,1,No
3532,a2a13cb72d94acf7b2cb114088463808fec2c15b,"2021-07-02 07:42:33.426","2021-07-02 07:43:39.161",Left,Southbound,3,1113,1,No
3533,a2a1c281a1cc943c45713b4e83ec6fe8d22e315c,"2021-07-02 13:59:53.405","2021-07-02 14:01:34.805",Straight,Northbound,3,1113,1,No
3534,a2fe12c2bcf1344cd8b3e0cc2e79de2fba59d134,"2021-07-02 08:39:22.029","2021-07-02 08:39:34.137",Straight,Eastbound,3,1113,0,No
3535,a3067c8914fde9d65053f683e8aae4c62869ae61,"2021-07-02 10:48:31.401","2021-07-02 10:48:40.112",Straight,Westbound,3,1113,0,No
3536,a30761baae1c7a633fda281bf18da9ae3c92c771,"2021-07-02 16:50:37.005","2021-07-02 16:50:45.496",Straight,Eastbound,3,1113,0,No
3537,a32921cd029e2573f899e7b581c6fe8b2927d576,"2021-07-02 13:59:47.135","2021-07-02 14:01:09.518",Left,Northbound,3,1113,1,Yes
3538,a398ba22e3994218b641c43d44c9fd2205615945,"2021-07-02 15:52:51.853","2021-07-02 15:53:48.305",Straight,Eastbound,3,1113,1,No
3539,a401e53b91ae166c6cf32c639429b9ecd9fe7664,"2021-07-02 04:57:07.443","2021-07-02 04:57:16.668",Straight,Westbound,3,1113,0,No
3540,a42ee76b70fcbeb477b77936448b86ddc8087972,"2021-07-01 19:18:24.644","2021-07-01 19:18:33.910",Straight,Westbound,3,1113,0,No
3541,a451c9c6cf1a88341407d82714eccfb4af7a85db,"2021-07-02 12:59:44.559","2021-07-02 13:02:43.730",Right,Westbound,3,1113,2,No
3542,a47900fa712c5dabdc4b7f563bddd1e4cc3fd734,"2021-07-02 14:09:37.582","2021-07-02 14:09:44.807",Straight,Southbound,3,1113,0,No
3543,a47a608de89075bffa8ca50004ffa738a99e7110,"2021-07-02 04:50:27.033","2021-07-02 04:50:53.588",Straight,Eastbound,3,1113,0,No
3544,a4d2905350e83cc6ac42381e494697e6e4f5d42a,"2021-07-02 15:59:15.033","2021-07-02 15:59:25.847",Straight,Eastbound,3,1113,0,No
3545,a4df2c785103902ada3a2e76757ab7d73b5609ea,"2021-07-02 06:08:47.899","2021-07-02 06:09:15.466",Straight,Westbound,3,1113,0,No
3546,a4f6e54d7c5b24e30c712326c74aa0998d62b5e9,"2021-07-02 13:59:43.191","2021-07-02 13:59:55.283",Straight,Westbound,3,1113,0,No
3547,a4fc3549c0269fa81e6db43a9b080a83c2c2471c,"2021-07-01 17:41:35.570","2021-07-01 17:43:22.151",Straight,Northbound,3,1113,1,No
3548,a50e334bffdad2e8648f8601dfe383643c609e07,"2021-07-01 17:23:53.559","2021-07-01 17:24:03.099",Straight,Eastbound,3,1113,0,No
3549,a526fc784eeca32bee4af78783aea9722258af2a,"2021-07-01 19:31:49.621","2021-07-01 19:31:57.852",Straight,Eastbound,3,1113,0,No
3550,a5644a56dd506ced419ac5590e606ba56f8a34aa,"2021-07-02 11:44:29.996","2021-07-02 11:45:52.515",Straight,Eastbound,3,1113,1,No
3551,a56a94d10515adb70d40479cebd6867b25030451,"2021-07-02 16:38:14.061","2021-07-02 16:38:21.973",Straight,Eastbound,3,1113,0,No
3552,a56bbbce17fca1b8dd1bdcfc397daf98bdc7ccd3,"2021-07-02 15:56:45.623","2021-07-02 15:56:57.647",Straight,Eastbound,3,1113,0,No
3553,a57e0dc320134cf2ecdbc6a8e484a6e06cf16a60,"2021-07-01 16:59:55.436","2021-07-01 17:01:13.761",Straight,Southbound,3,1113,1,No
3554,a5a2d5bead2c21dd098f40e90e510b6a2ab00830,"2021-07-02 10:31:41.392","2021-07-02 10:33:16.475",Straight,Eastbound,3,1113,1,No
3556,a5b3dfc9acdac4fd57ef550791b6d7cf00aaa362,"2021-07-02 08:10:46.650","2021-07-02 08:11:27.212",Straight,Westbound,3,1113,1,No
3557,a5e65329fc37217bf244fab9fc55b8ef9c70fe46,"2021-07-01 22:59:44.686","2021-07-01 22:59:52.922",Straight,Eastbound,3,1113,0,No
3558,a6133a1700add5f17bb14b66e6e37ea24ceb7820,"2021-07-02 13:37:09.142","2021-07-02 13:38:38.250",Straight,Westbound,3,1113,1,No
3559,a656c46a54a13dd8dc61a9580b10796ee3ae41c4,"2021-07-02 04:57:16.251","2021-07-02 04:58:15.875",Right,Southbound,3,1113,1,No
3560,a6afa96107c00dfbbe863390e4ec61cef450e1ae,"2021-07-02 11:31:06.025","2021-07-02 11:31:36.576",Left,Northbound,3,1113,1,No
3561,a6b5ab53ae3cca01573f5d39cd00f439d8f71318,"2021-07-02 11:07:01.314","2021-07-02 11:07:09.162",Straight,Westbound,3,1113,0,No
3562,a6eb6bfd057e39bd7f3171f1fb47c083a66cf138,"2021-07-02 14:56:07.919","2021-07-02 14:58:12.364",Right,Southbound,3,1113,1,No
3563,a6f4049aacef285a0dfb4b6918ccbad5e5eb30f3,"2021-07-02 15:45:36.661","2021-07-02 15:47:43.322",Straight,Westbound,3,1113,1,No
3564,a721dfda1427bb21da738b696e1dd7143df48f98,"2021-07-02 04:00:36.144","2021-07-02 04:01:07.040",Straight,Southbound,3,1113,1,No
3565,a74f227ea5616031b569e84473d03d8a85f2f664,"2021-07-02 14:52:52.801","2021-07-02 14:56:03.267",Left,Eastbound,3,1113,2,No
3566,a78fcc142080520e40da60224b0b93d7ae1b6134,"2021-07-02 06:08:15.507","2021-07-02 06:09:09.968",Straight,Westbound,3,1113,1,No
3567,a7d3078426b0b050662ab43b1368db2ea8fa3841,"2021-07-02 05:43:51.310","2021-07-02 05:44:02.854",Right,Westbound,3,1113,0,No
3568,a8265dae39f7136d8d2f3a421c5daaca07e44950,"2021-07-02 09:44:00.315","2021-07-02 09:44:16.837",Right,Southbound,3,1113,0,No
3569,a8324ab126972618524f6b2efc90d1840f14dd92,"2021-07-01 18:26:43.541","2021-07-01 18:28:21.170",Left,Northbound,3,1113,1,No
3570,a835584371d1a0b4a853ee7eba2d56687c715c70,"2021-07-02 13:08:14.976","2021-07-02 13:08:25.651",Straight,Eastbound,3,1113,0,No
3571,a8623b9cdbe5d0fcc319b7438e86fa3e47ba3a71,"2021-07-02 04:25:16.565","2021-07-02 04:25:28.157",Left,Eastbound,3,1113,0,No
3572,a89c4827ad5b6293cda8c338fb162c2f5d1e86b8,"2021-07-02 09:03:02.814","2021-07-02 09:05:00.229",Straight,Northbound,3,1113,1,No
3573,a8c141749ab48b9f116fe71e9aa8adab4c09d834,"2021-07-02 08:21:27.916","2021-07-02 08:23:20.553",Straight,Southbound,3,1113,1,No
3574,a920b0cd6807b2264ba1ba010520c5a992aa8096,"2021-07-02 03:23:34.525","2021-07-02 03:23:43.408",Straight,Westbound,3,1113,0,No
3575,a96200f7c6fde3d541ec3a9b79c243246bdd890c,"2021-07-02 10:55:03.110","2021-07-02 10:55:13.881",Straight,Eastbound,3,1113,0,No
3576,a971d005061dc10000ae27ab0c4c9de79de8793e,"2021-07-02 09:50:41.840","2021-07-02 09:51:03.385",Straight,Eastbound,3,1113,0,No
3577,a973ec578ae60b675b46c9d3afc26fb39300b2de,"2021-07-02 16:36:16.613","2021-07-02 16:37:30.649",Straight,Westbound,3,1113,2,No
3578,a98361c18095470962bdad543a3a94a4de52ed72,"2021-07-01 17:07:37.371","2021-07-01 17:07:46.083",Straight,Westbound,3,1113,0,No
3579,a995c1537de9371a867341e6fe60cba079ab594b,"2021-07-02 16:12:12.196","2021-07-02 16:13:31.337",Straight,Southbound,3,1113,1,No
3580,a9a2529861301d103aaef459f21c23d3387c7991,"2021-07-02 13:19:30.649","2021-07-02 13:23:07.948",Left,Eastbound,3,1113,2,No
3581,aa279e5887362b55a8e96c0c31659884dc42497e,"2021-07-02 06:40:48.588","2021-07-02 06:42:08.662",Straight,Eastbound,3,1113,1,No
3582,aa403c07e71d24b404d4e46a778e982b99e1209b,"2021-07-02 08:36:15.172","2021-07-02 08:36:38.476",Right,Westbound,3,1113,0,No
3583,aaacb36c648e3e09fbcaa420913c86fc86b4efa8,"2021-07-02 09:55:44.247","2021-07-02 09:57:01.699",Straight,Eastbound,3,1113,1,No
3584,aad2d150d57171bb6d364115091677ba0d66af7c,"2021-07-02 07:43:59.966","2021-07-02 07:46:20.855",Left,Northbound,3,1113,2,No
3585,aafa6bc52275871aafa65570daa00f8af71583c5,"2021-07-01 17:28:04.181","2021-07-01 17:28:18.261",Straight,Westbound,3,1113,0,No
